City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
176,Hobyo,SO,76.77,5.3505,48.5268,Halane Hotel and Restaurent
177,Avarua,CK,82.45,-21.2078,-159.775,Paradise Inn
178,Codrington,AU,71.8,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
179,Buluang,PH,74.1,13.3068,123.3425,Enon Beach Resort
181,Bambous Virieux,MU,76.21,-20.3428,57.7575,Casa Tia Villa
183,Wanning,CN,69.15,18.8003,110.3967,Paradise Hotel
185,Masuguru,TZ,72.95,-11.3667,38.4167,
188,Arraial Do Cabo,BR,69.66,-22.9661,-42.0278,Pousada Porto Praia
191,Bom Jardim,BR,79.14,-7.7958,-35.5872,Pousada do Posto Jose Breno
192,Fayaoue,NC,80.91,-20.65,166.5333,Chez Dydyce Guesthouse
194,Vanimo,PG,79.16,-2.6741,141.3028,Vahmoneh Lodge Vanimo
195,Sabang,ID,80.6,5.8933,95.3214,Hotel Citra
196,Jizan,SA,76.14,17.3333,42.6667,شهدان. ابوالحجر
198,Letlhakane,BW,72.9,-21.4167,25.5833,Motswedi Hotel P650
200,Haapiti,PF,82.13,-17.5667,-149.8667,Linareva Moorea Beach Resort
202,Porto Velho,BR,77.05,-8.7619,-63.9039,Hotel Central
204,Kousseri,CM,71.24,12.0769,15.0306,Le Pilotis
206,Pimentel,PE,75.49,-6.8367,-79.9342,Casona Del Muelle
209,Salalah,OM,69.89,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
210,Si Sa Ket,TH,71.22,14.8333,104.3333,ร้านค้า อัญชัน
214,Ahuimanu,US,80.31,21.4447,-157.8378,Paradise Bay Resort
218,Shakawe,BW,67.39,-18.3667,21.85,Ditlhapi Guest House
221,Belmonte,BR,77.5,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
225,Eyl,SO,74.23,7.9803,49.8164,Amiin Hotel
228,Buchanan,LR,78.76,5.8808,-10.0467,Kamaneahn Hotel Inc
230,Barroso,BR,66.38,-21.1869,-43.9758,R2 Suítes
233,Bengkulu,ID,75.11,-3.8004,102.2655,Grage Hotel Bengkulu
238,Culiacan,MX,81.16,24.7994,-107.3897,Ramada by Wyndham Hola Culiacan
239,Umm Kaddadah,SD,76.06,13.6017,26.6876,
241,Bousso,TD,75.96,10.4795,16.7117,
242,Tuy Hoa,VN,71.91,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
253,Salta,AR,82.69,-24.7859,-65.4117,Hotel Alejandro I
259,Nova Vicosa,BR,75.88,-17.8919,-39.3719,Pousada Porto do Sol
261,Waipawa,NZ,68.63,-41.4122,175.5153,Tora Coastal Walk
263,Dicabisagan,PH,72.1,17.0818,122.4157,Nancy Montanes Bernardo
264,Kerema,PG,80.82,-7.9631,145.7785,Frena Lodge
266,Poco Verde,BR,75.78,-10.7083,-38.1833,Hotel Santa Cruz
267,Lere,NG,69.8,10.387,8.5726,
268,Itarema,BR,80.19,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
269,Ponta Do Sol,PT,65.71,32.6667,-17.1,Hotel do Campo
275,Garowe,SO,65.91,8.4054,48.4845,Curubo Hotel
277,Samarai,PG,81.95,-10.6167,150.6667,Nuli Sapi
280,Chimbote,PE,73.47,-9.0853,-78.5783,Hotel Viera Chimbote
283,Mahajanga,MG,75.22,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
284,Tuatapere,NZ,66.81,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
286,Kiunga,PG,78.3,-6.1219,141.2906,Airport Lodge Kiunga
288,Acarau,BR,80.19,-2.8856,-40.12,castelo pizzaria
291,Panalingaan,PH,77.68,8.7842,117.4231,I Love Panalingaan View Deck
293,Tocopilla,CL,69.84,-22.092,-70.1979,Hotel Galvarino
295,Cabo San Lucas,MX,79.9,22.8909,-109.9124,Hotel Tesoro Los Cabos
296,Buala,SB,83.75,-8.145,159.5921,Maringe Lagoon Lodge
298,Ouesso,CG,76.86,1.6136,16.0517,ABENIE Hotel
304,Kavieng,PG,82.99,-2.5744,150.7967,Nusa Island Retreat
305,Namatanai,PG,82.9,-3.6667,152.4333,Seagulls Inn Namatani
310,Pochutla,MX,84.02,15.7432,-96.4661,Hotel Posada San Jose
312,Tautira,PF,82.42,-17.7333,-149.15,Pension Oaoa
314,Sironko,UG,69.17,1.2313,34.2477,Wagagai Hotel
315,Aitape,PG,80.28,-3.1374,142.3475,
316,Douentza,ML,65.73,14.9951,-2.9517,Ogomono Doumbo
318,Comodoro Rivadavia,AR,82.26,-45.8667,-67.5,Austral Hotel
320,Ancud,CL,68.43,-41.8697,-73.8203,Hotel Arena Gruesa
322,Puerto Madryn,AR,71.56,-42.7692,-65.0385,Hotel Tolosa
323,Bandar,ID,71.06,2.05,99.75,
325,Amapa,BR,74.23,1.0,-52.0,
327,Quatre Cocos,MU,76.08,-20.2078,57.7625,Sunrise Attitude Hotel
328,Kapit,MY,72.99,2.0167,112.9333,Hotel Meligai Kapit
329,Rio Grande,BR,71.94,-32.035,-52.0986,Hotel Atlântico Rio Grande
331,Maltahohe,,68.86,-24.8333,16.9833,Maltahöhe Hotel
335,Banda Aceh,ID,77.95,5.5577,95.3222,Sulthan Hotel International
337,Tsogni,GA,75.9,-2.7942,10.0988,
339,Lorengau,PG,82.36,-2.0226,147.2712,Lorengau Harbourside Hotel
341,Lazaro Cardenas,MX,82.29,17.9583,-102.2,quinta antigua
342,Avera,US,69.67,33.194,-82.5271,
344,Kavaratti,IN,79.65,10.5669,72.642,Hotels in Lakshadweep Islands
348,Lolodorf,CM,72.41,3.2333,10.7333,Auberge La Decouverte
349,Vryburg,ZA,74.88,-26.9566,24.7284,The Times Premier Lodge
351,Oum Hadjer,TD,72.68,13.2954,19.6966,
352,Takaka,NZ,70.59,-40.85,172.8,Golden Bay Motels
355,Gigmoto,PH,77.99,13.7796,124.39,Cj's Travellers Inn
359,Oussouye,SN,77.09,12.485,-16.5469,Auberge du Routard
360,Koumac,NC,84.27,-20.5667,164.2833,Le Monitel
361,Viedma,AR,76.64,-40.8135,-62.9967,Hotel Cristal
363,Manaure,CO,80.73,11.7751,-72.4445,Hotel Palaaima
371,Bathsheba,BB,77.61,13.2167,-59.5167,Atlantis Hotel
374,Atambua,ID,77.38,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
375,Bowen,AU,84.58,-20.0167,148.2333,Castle Motor Lodge Motel
376,Olinda,BR,82.13,-8.0089,-34.8553,Hotel Albergue de Olinda
377,Rio De Janeiro,BR,70.02,-22.9028,-43.2075,Hotel Málaga
379,Maraa,BR,74.68,-1.8333,-65.3667,
380,Mareeba,AU,75.43,-17.0,145.4333,Trinity Plains Tourist Park
382,Te Anau,NZ,68.18,-45.4167,167.7167,Kingsgate Hotel Te Anau
383,Angoche,MZ,74.44,-16.2325,39.9086,Guest House HESADA
386,Sechura,PE,77.99,-5.5569,-80.8222,Hospedaje Costa Bella
389,Sri Aman,MY,75.25,1.2376,111.4621,Seri Simanggang Hotel
390,Witu,KE,77.16,-2.3889,40.4382,
391,Kluang,MY,74.93,2.0251,103.3328,Hotel Anika
392,Wichian Buri,TH,70.03,15.6578,101.106,Mit Sali Hotel
395,Palora,EC,78.78,-1.7,-77.9333,Rancho grande
396,North Myrtle Beach,US,67.21,33.816,-78.68,Avista Resort
397,Dutlwe,BW,72.93,-23.9833,23.9,
398,Filingue,NE,69.66,14.3521,3.3168,
399,Thinadhoo,MV,81.77,0.5333,72.9333,
400,Merauke,ID,79.41,-8.4667,140.3333,
401,Venice,US,79.0,27.0998,-82.4543,A Beach Retreat On Casey Key
402,Katerero,TZ,68.23,-1.4,31.7333,
404,Dunedin,NZ,65.3,-45.8742,170.5036,Scenic Hotel Southern Cross
407,Sao Joao Da Barra,BR,70.45,-21.6403,-41.0511,Pousada Porto De Canoas
412,Sulphur,US,74.01,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
413,Canavieiras,BR,77.49,-15.675,-38.9472,Bahiadomizil
414,Makakilo City,US,79.12,21.3469,-158.0858,Marriott's Ko Olina Beach Club
416,Pascagoula,US,74.05,30.3658,-88.5561,Regency Inn
420,Guerrero Negro,MX,67.82,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
421,Sinazongwe,ZM,73.38,-17.2614,27.4618,Lakeview Lodge
428,Ondjiva,AO,71.46,-17.0667,15.7333,COMBUESA
437,Madimba,TZ,80.73,-10.4,40.3333,
443,San Luis De Palenque,CO,84.92,5.4214,-71.7317,Hotel Palenque Los Cubarros
445,Hambantota,LK,75.16,6.1241,81.1185,Bungalow 63
